trabajo;est.civ;educacion;mora;vivienda;prestamo;contacto;mes;presultado;suscrito
Servis;Casado;secundaria;no;no;no;celular;Agosto;desconocido;no
Tecnico;Divorciado;secundaria;no;si;si;celular;Julio;desconocido;no
Ejecutivo;Casado;Superior;no;no;no;celular;Agosto;desconocido;no
empresario;Divorciado;desconocido;si;si;no;celular;Julio;desconocido;si
Ejecutivo;Casado;Superior;no;no;no;celular;Enero;desconocido;no
Obrero;Divorciado;primaria;no;si;no;desconocido;Mayo;desconocido;si
empresario;Casado;secundaria;no;si;si;celular;Julio;desconocido;si
Obrero;Casado;secundaria;no;si;no;celular;abril;desconocido;si
Retirado;Divorciado;primaria;no;no;no;celular;Mayo;desconocido;no
Retirado;Divorciado;primaria;no;no;no;celular;Junio;fracaso;no
Obrero;Casado;secundaria;no;si;no;teléfono;Julio;desconocido;no
Obrero;Casado;secundaria;no;si;no;celular;Julio;desconocido;no
Ejecutivo;Casado;desconocido;no;no;si;celular;Julio;desconocido;no
Tecnico;Casado;secundaria;no;no;si;celular;Julio;desconocido;no
empresario;Casado;secundaria;no;si;no;celular;abril;desconocido;si
Desempleado;Casado;primaria;no;si;si;desconocido;Mayo;desconocido;no
Ejecutivo;Casado;Superior;no;si;no;desconocido;Mayo;desconocido;no
admin.;Casado;Superior;no;no;no;celular;Noviembre;desconocido;no
Obrero;Casado;secundaria;no;si;si;celular;Mayo;fracaso;no
Ejecutivo;Casado;desconocido;no;no;no;celular;Enero;desconocido;no
Obrero;Soltero;primaria;no;si;no;celular;Julio;desconocido;no
Ejecutivo;Casado;Superior;no;no;si;celular;Agosto;desconocido;no
admin.;Soltero;Superior;no;si;no;celular;Mayo;fracaso;si
Obrero;Casado;primaria;no;si;no;desconocido;Mayo;desconocido;no
Obrero;Casado;secundaria;no;no;no;celular;Febrero;desconocido;no
admin.;Casado;primaria;no;no;si;desconocido;Junio;desconocido;no
empresario;Casado;secundaria;no;no;no;celular;Mayo;fracaso;si
Desempleado;Soltero;secundaria;no;no;no;desconocido;Mayo;desconocido;no
admin.;Casado;desconocido;no;no;no;desconocido;Junio;desconocido;no
Obrero;Casado;secundaria;no;no;no;celular;Febrero;desconocido;no
Independientes;Soltero;Superior;no;no;si;celular;Julio;desconocido;no
Ejecutivo;Casado;Superior;no;no;no;celular;Agosto;éxito;si
Obrero;Casado;primaria;no;si;si;desconocido;Junio;desconocido;no
Tecnico;Casado;secundaria;no;no;no;celular;Noviembre;fracaso;no
Desempleado;Casado;secundaria;no;no;si;celular;Noviembre;desconocido;no
empresario;Soltero;Superior;no;si;no;celular;Julio;desconocido;si
Desempleado;Casado;secundaria;no;no;no;celular;Diciembre;éxito;si
admin.;Soltero;secundaria;no;si;no;desconocido;Mayo;desconocido;no
admin.;Casado;secundaria;no;no;no;celular;Julio;desconocido;no
Tecnico;Soltero;Superior;no;si;no;celular;abril;otro;no
admin.;Casado;secundaria;no;si;no;celular;Julio;desconocido;no
Servis;Casado;primaria;no;si;no;celular;Julio;desconocido;si
Ejecutivo;Soltero;Superior;no;no;no;celular;abril;desconocido;si
Ejecutivo;Divorciado;Superior;no;no;si;desconocido;Mayo;desconocido;no
Obrero;Casado;primaria;no;no;no;desconocido;Setiembre;desconocido;no
Ejecutivo;Soltero;Superior;no;si;no;celular;Febrero;fracaso;no
Retirado;Casado;primaria;no;no;no;celular;Octubre;éxito;no
Independientes;Divorciado;primaria;no;no;no;celular;Mayo;desconocido;no
Ejecutivo;Casado;Superior;no;si;si;celular;Noviembre;fracaso;no
Retirado;Casado;Superior;no;no;no;celular;Febrero;desconocido;no
Ejecutivo;Soltero;Superior;no;no;si;celular;Julio;desconocido;no
Independientes;Soltero;Superior;no;si;no;desconocido;Mayo;desconocido;no
Ejecutivo;Soltero;desconocido;no;si;no;celular;abril;desconocido;no
Obrero;Soltero;secundaria;no;si;si;celular;Mayo;fracaso;no
Ejecutivo;Casado;Superior;no;no;no;celular;Julio;desconocido;no
Ejecutivo;Casado;primaria;no;no;no;celular;Setiembre;éxito;si
admin.;Casado;secundaria;no;si;si;desconocido;Mayo;desconocido;no
Independientes;Casado;Superior;no;si;no;celular;Mayo;fracaso;no
Obrero;Casado;secundaria;no;si;no;celular;abril;desconocido;no
Ejecutivo;Casado;Superior;si;si;no;celular;Noviembre;desconocido;no
Ejecutivo;Casado;Superior;no;no;si;celular;Julio;desconocido;no
Ejecutivo;Casado;Superior;no;no;no;celular;Noviembre;fracaso;no
Ejecutivo;Casado;Superior;no;si;no;celular;Mayo;fracaso;no
Servis;Soltero;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Servis;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Ejecutivo;Soltero;desconocido;no;no;no;celular;Febrero;desconocido;no
admin.;Divorciado;secundaria;no;no;no;celular;abril;desconocido;si
Estudiante;Soltero;secundaria;no;si;no;celular;Mayo;desconocido;no
Ejecutivo;Soltero;Superior;no;no;no;celular;Noviembre;desconocido;no
Obrero;Casado;primaria;no;si;si;celular;Mayo;desconocido;no
Emple_hogar;Casado;primaria;no;si;no;desconocido;Mayo;desconocido;no
Obrero;Casado;secundaria;no;si;no;celular;Noviembre;desconocido;no
Ejecutivo;Casado;Superior;no;no;no;celular;Agosto;desconocido;no
Estudiante;Soltero;secundaria;no;no;no;celular;Setiembre;desconocido;no
Tecnico;Soltero;secundaria;no;si;no;celular;abril;desconocido;no
Ejecutivo;Soltero;Superior;no;si;no;celular;abril;fracaso;no
Tecnico;Soltero;primaria;no;no;no;celular;Agosto;desconocido;si
empresario;Casado;secundaria;no;si;no;celular;Noviembre;otro;no
Emple_hogar;Casado;Superior;no;no;no;desconocido;Junio;desconocido;no
Retirado;Casado;primaria;no;no;no;celular;Junio;desconocido;no
Servis;Casado;secundaria;no;no;no;desconocido;Junio;desconocido;no
Tecnico;Casado;secundaria;no;si;no;celular;Agosto;desconocido;no
admin.;Casado;secundaria;no;si;no;celular;Mayo;fracaso;no
Servis;Soltero;secundaria;no;si;no;celular;Mayo;fracaso;no
Ejecutivo;Casado;primaria;no;si;no;desconocido;Junio;desconocido;no
Ejecutivo;Casado;Superior;no;si;no;celular;Mayo;fracaso;si
Tecnico;Divorciado;primaria;no;si;no;desconocido;Mayo;desconocido;no
Servis;Soltero;secundaria;no;si;no;celular;Mayo;desconocido;no
Obrero;Casado;secundaria;no;si;no;celular;abril;fracaso;no
Obrero;Casado;primaria;no;si;no;desconocido;Junio;desconocido;no
Retirado;Casado;Superior;no;no;no;teléfono;Marzo;desconocido;si
Servis;Casado;secundaria;no;si;no;teléfono;Mayo;fracaso;no
Obrero;Casado;primaria;no;si;no;celular;Julio;desconocido;no
Obrero;Casado;primaria;no;no;no;celular;abril;desconocido;no
Ejecutivo;Casado;Superior;no;no;no;desconocido;Junio;desconocido;no
Tecnico;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
